appid,name,release_date,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,english,categories,genres
637100,Sonic Forces,2017-11-07,"Sonic Team, Hardlight",SEGA,3433,2028,"200,000 - 500,000",283,0,259,0,39.99,26,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure
315430,Polarity,2016-07-15,Bluebutton Games,Bluebutton Games,3810,959,"500,000 - 1,000,000",171,0,143,0,12.99,2,1,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;Strategy
441380,PAC-MAN CHAMPIONSHIP EDITION 2,2016-09-13,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,1280,582,"200,000 - 500,000",57,0,30,0,12.99,9,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Casual
840800,Outlaws of the Old West,2019-03-12,Virtual Basement LLC,Wandering Wizard,3561,2019,"200,000 - 500,000",261,0,259,0,19.99,52,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;MMO;Online Co-op,Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access
467310,Rogue Port - Red Nightmare,2016-05-09,Volens Nolens Games,Volens Nolens Games,70,16,"100,000 - 200,000",302,0,322,0,0.99,1,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie;RPG
33600,Broken Sword 2 - the Smoking Mirror: Remastered,2009-12-02,Revolution Software Ltd,Revolution Software Ltd,740,94,"100,000 - 200,000",8,0,8,0,5.99,18,1,Single-player,Adventure
1300,SiN Episodes: Emergence,2006-05-10,Ritual Entertainment,Ritual Entertainment,708,89,"100,000 - 200,000",322,0,557,0,9.99,0,1,Single-player;Stats,Action
388880,Oxenfree,2016-01-14,Night School Studio,Night School Studio,9011,704,"500,000 - 1,000,000",171,0,172,0,9.99,17,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie
973760,Thronebreaker: The Witcher Tales,2018-11-09,CD PROJEKT RED,CD PROJEKT RED,11005,1221,"500,000 - 1,000,000",805,0,709,0,19.99,207,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;RPG
275390,Guacamelee! Super Turbo Championship Edition,2014-08-21,DrinkBox Studios,DrinkBox Studios,5274,421,"10,000,000 - 20,000,000",231,0,95,0,14.99,22,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie
